Server Name	ServerName	TodayDate	Drive	Total(GB)	Free(GB)	Percentage
AUA - PRODAUAHISTDB - 10.71.36.110	PRODAUAHISTDB	2026-03-20 04:15:44.637	T:	49	41	83
RECONDB116 - 10.71.36.116 - HA of RECONDB	RECONDB116	2026-03-20 04:15:44.583	C:	69	20	29
RECONDB116 - 10.71.36.116 - HA of RECONDB	RECONDB116	2026-03-20 04:15:44.583	D:	99	67	67
RECONDB116 - 10.71.36.116 - HA of RECONDB	RECONDB116	2026-03-20 04:15:44.583	E:	1499	1172	78
RECONDB116 - 10.71.36.116 - HA of RECONDB	RECONDB116	2026-03-20 04:15:44.583	F:	499	438	87
RECONDB116 - 10.71.36.116 - HA of RECONDB	RECONDB116	2026-03-20 04:15:44.583	G:	1499	809	53
RECONDB116 - 10.71.36.116 - HA of RECONDB	RECONDB116	2026-03-20 04:15:44.583	H:	799	499	62
SAPPRD-FPBPRDSAP\PRD-10.101.12.117	FPBPRDSAP\PRD	2026-03-20 04:15:44.547	C:	99	17	17
SAPPRD-FPBPRDSAP\PRD-10.101.12.117	FPBPRDSAP\PRD	2026-03-20 04:15:44.547	D:	249	211	84
SAPPRD-FPBPRDSAP\PRD-10.101.12.117	FPBPRDSAP\PRD	2026-03-20 04:15:44.547	E:	799	85	10
SAPPRD-FPBPRDSAP\PRD-10.101.12.117	FPBPRDSAP\PRD	2026-03-20 04:15:44.547	F:	549	92	16
SAPPRD-FPBPRDSAP\PRD-10.101.12.117	FPBPRDSAP\PRD	2026-03-20 04:15:44.547	K:	1099	351	31
SAPPRD-FPBPRDSAP\PRD-10.101.12.117	FPBPRDSAP\PRD	2026-03-20 04:15:44.547	L:	99	85	85
SAPPRD-FPBPRDSAP\PRD-10.101.12.117	FPBPRDSAP\PRD	2026-03-20 04:15:44.547	P:	199	24	12
APICOREPLDB01 - 10.71.36.119	APICOREPLDB01	2026-03-20 04:15:44.647	C:	99	27	27
APICOREPLDB01 - 10.71.36.119	APICOREPLDB01	2026-03-20 04:15:44.647	D:	79	72	90
APICOREPLDB01 - 10.71.36.119	APICOREPLDB01	2026-03-20 04:15:44.647	E:	269	40	15
APICOREPLDB01 - 10.71.36.119	APICOREPLDB01	2026-03-20 04:15:44.647	F:	149	142	94
APICOREPLDB01 - 10.71.36.119	APICOREPLDB01	2026-03-20 04:15:44.647	T:	49	48	97
PRODICICIDB01-10.181.38.26	PRODICICIDB01	2026-03-20 04:15:44.643	C:	99	63	64
PRODICICIDB01-10.181.38.26	PRODICICIDB01	2026-03-20 04:15:44.643	D:	99	88	88
PRODICICIDB01-10.181.38.26	PRODICICIDB01	2026-03-20 04:15:44.643	E:	149	49	32
PRODICICIDB01-10.181.38.26	PRODICICIDB01	2026-03-20 04:15:44.643	F:	99	97	98
PRODICICIDB01-10.181.38.26	PRODICICIDB01	2026-03-20 04:15:44.643	G:	99	96	96
PRODICICIDB01-10.181.38.26	PRODICICIDB01	2026-03-20 04:15:44.643	T:	49	49	98
PRODICICIDB01 - 10.181.38.26	PRODICICIDB01	2026-03-20 04:15:44.643	C:	99	63	64
PRODICICIDB01 - 10.181.38.26	PRODICICIDB01	2026-03-20 04:15:44.643	D:	99	88	88
PRODICICIDB01 - 10.181.38.26	PRODICICIDB01	2026-03-20 04:15:44.643	E:	149	49	32
PRODICICIDB01 - 10.181.38.26	PRODICICIDB01	2026-03-20 04:15:44.643	F:	99	97	98
PRODICICIDB01 - 10.181.38.26	PRODICICIDB01	2026-03-20 04:15:44.643	G:	99	96	96
PRODICICIDB01 - 10.181.38.26	PRODICICIDB01	2026-03-20 04:15:44.643	T:	49	49	98
STACKDBMIRR78-10.181.8.31 HA of 10.71.36.14	STACKDBMIRR78	2026-03-20 04:15:44.653	C:	89	41	45
STACKDBMIRR78-10.181.8.31 HA of 10.71.36.14	STACKDBMIRR78	2026-03-20 04:15:44.653	D:	99	90	90
STACKDBMIRR78-10.181.8.31 HA of 10.71.36.14	STACKDBMIRR78	2026-03-20 04:15:44.653	E:	599	201	33
STACKDBMIRR78-10.181.8.31 HA of 10.71.36.14	STACKDBMIRR78	2026-03-20 04:15:44.653	F:	279	278	99
STACKDBMIRR78-10.181.8.31 HA of 10.71.36.14	STACKDBMIRR78	2026-03-20 04:15:44.653	G:	279	265	94
STACKDBMIRR78-10.181.8.31 HA of 10.71.36.14	STACKDBMIRR78	2026-03-20 04:15:44.653	I:	499	229	45
STACKDBMIRR78-10.181.8.31 HA of 10.71.36.14	STACKDBMIRR78	2026-03-20 04:15:44.653	T:	99	99	99
LOG_DIST - PRODDBREPORT2 - 10.71.36.24	PRODDBREPORT2	2026-03-20 04:15:44.657	C:	69	18	27
LOG_DIST - PRODDBREPORT2 - 10.71.36.24	PRODDBREPORT2	2026-03-20 04:15:44.657	D:	99	79	79
LOG_DIST - PRODDBREPORT2 - 10.71.36.24	PRODDBREPORT2	2026-03-20 04:15:44.657	E:	199	61	30
LOG_DIST - PRODDBREPORT2 - 10.71.36.24	PRODDBREPORT2	2026-03-20 04:15:44.657	F:	149	44	29
LOG_DIST - PRODDBREPORT2 - 10.71.36.24	PRODDBREPORT2	2026-03-20 04:15:44.657	H:	259	147	56
PRODESBDIST-10.71.36.63	PRODESBDIST	2026-03-20 04:15:44.643	C:	69	13	19
PRODESBDIST-10.71.36.63	PRODESBDIST	2026-03-20 04:15:44.643	D:	199	186	93
PRODESBDIST-10.71.36.63	PRODESBDIST	2026-03-20 04:15:44.643	E:	199	199	99
PRODSTACKMASDB - 10.71.36.46	PRODSTACKMASDB	2026-03-20 04:15:44.680	C:	89	47	52
PRODSTACKMASDB - 10.71.36.46	PRODSTACKMASDB	2026-03-20 04:15:44.680	D:	99	89	89
PRODSTACKMASDB - 10.71.36.46	PRODSTACKMASDB	2026-03-20 04:15:44.680	E:	499	443	88
PRODSTACKMASDB - 10.71.36.46	PRODSTACKMASDB	2026-03-20 04:15:44.680	F:	99	99	99
PRODSTACKMASDB - 10.71.36.46	PRODSTACKMASDB	2026-03-20 04:15:44.680	G:	149	143	95
PRODSTACKMASDB - 10.71.36.46	PRODSTACKMASDB	2026-03-20 04:15:44.680	T:	99	99	99
PRODFPDBMIRR - 10.71.36.15 - HA of 10.71.36.16	PRODFPDBMIRR	2026-03-20 04:15:44.640	C:	99	17	17
PRODFPDBMIRR - 10.71.36.15 - HA of 10.71.36.16	PRODFPDBMIRR	2026-03-20 04:15:44.640	D:	399	71	17
PRODSTACKMASDB - 10.71.36.46_2	PRODSTACKMASDB	2026-03-20 04:15:44.683	C:	89	47	52
PRODSTACKMASDB - 10.71.36.46_2	PRODSTACKMASDB	2026-03-20 04:15:44.683	D:	99	89	89
PRODSTACKMASDB - 10.71.36.46_2	PRODSTACKMASDB	2026-03-20 04:15:44.683	E:	499	443	88
PRODSTACKMASDB - 10.71.36.46_2	PRODSTACKMASDB	2026-03-20 04:15:44.683	F:	99	99	99
PRODSTACKMASDB - 10.71.36.46_2	PRODSTACKMASDB	2026-03-20 04:15:44.683	G:	149	143	95
PRODSTACKMASDB - 10.71.36.46_2	PRODSTACKMASDB	2026-03-20 04:15:44.683	T:	99	99	99
PRODSTACKDB5 - 10.71.36.12 - HA of 10.71.36.11	PRODSTACKDB5	2026-03-20 04:15:44.633	C:	79	27	34
PRODSTACKDB5 - 10.71.36.12 - HA of 10.71.36.11	PRODSTACKDB5	2026-03-20 04:15:44.633	D:	949	175	18
PRODSTACKDB5 - 10.71.36.12 - HA of 10.71.36.11	PRODSTACKDB5	2026-03-20 04:15:44.633	E:	299	296	98
PRODNETBDBSRV-10.71.36.86 HA of 10.71.36.41	PRODNETBDBSRV	2026-03-20 04:15:44.637	C:	99	25	25
PRODNETBDBSRV-10.71.36.86 HA of 10.71.36.41	PRODNETBDBSRV	2026-03-20 04:15:44.637	D:	99	76	76
PRODNETBDBSRV-10.71.36.86 HA of 10.71.36.41	PRODNETBDBSRV	2026-03-20 04:15:44.637	E:	499	446	89
PRODNETBDBSRV-10.71.36.86 HA of 10.71.36.41	PRODNETBDBSRV	2026-03-20 04:15:44.637	F:	149	149	99
PRODNETBDBSRV-10.71.36.86 HA of 10.71.36.41	PRODNETBDBSRV	2026-03-20 04:15:44.637	G:	149	143	95
PRODIDFCDBREP-10.102.13.62	PRODIDFCDBREP	2026-03-20 04:15:44.647	C:	89	26	29
PRODIDFCDBREP-10.102.13.62	PRODIDFCDBREP	2026-03-20 04:15:44.647	D:	349	196	56
PRODIDFCDBREP-10.102.13.62	PRODIDFCDBREP	2026-03-20 04:15:44.647	E:	449	52	11
PRODSTACKDBMIRR-10.71.36.14	PRODSTACKDBMIRR	2026-03-20 04:15:44.733	C:	69	12	18
PRODSTACKDBMIRR-10.71.36.14	PRODSTACKDBMIRR	2026-03-20 04:15:44.733	D:	79	47	59
PRODSTACKDBMIRR-10.71.36.14	PRODSTACKDBMIRR	2026-03-20 04:15:44.733	E:	569	355	62
PRODSTACKDBMIRR-10.71.36.14	PRODSTACKDBMIRR	2026-03-20 04:15:44.733	F:	249	164	65
PRODSTACKDBMIRR-10.71.36.14	PRODSTACKDBMIRR	2026-03-20 04:15:44.733	G:	249	14	5
PRODSTACKDBMIRR-10.71.36.14	PRODSTACKDBMIRR	2026-03-20 04:15:44.733	I:	499	315	63
PRODSTACKDBMIRR-10.71.36.14	PRODSTACKDBMIRR	2026-03-20 04:15:44.733	T:	99	43	43
OPMANAGER-10.71.36.89	PRODOPMDB	2026-03-20 04:15:44.690	C:	59	14	24
OPMANAGER-10.71.36.89	PRODOPMDB	2026-03-20 04:15:44.690	D:	199	11	5
PRDREPORTDB - 10.71.36.125	PRDREPORTDB	2026-03-20 04:15:44.677	C:	69	22	32
PRDREPORTDB - 10.71.36.125	PRDREPORTDB	2026-03-20 04:15:44.677	D:	99	68	68
PRDREPORTDB - 10.71.36.125	PRDREPORTDB	2026-03-20 04:15:44.677	E:	1749	840	48
PRDREPORTDB - 10.71.36.125	PRDREPORTDB	2026-03-20 04:15:44.677	F:	199	89	44
PRDREPORTDB - 10.71.36.125	PRDREPORTDB	2026-03-20 04:15:44.677	G:	199	163	82
PRDREPORTDB - 10.71.36.125	PRDREPORTDB	2026-03-20 04:15:44.677	H:	399	386	96
SQL 2019	DBMOCKRESTORE01\SQL2019	2026-03-20 04:15:44.690	C:	99	15	15
SQL 2019	DBMOCKRESTORE01\SQL2019	2026-03-20 04:15:44.690	D:	79	34	43
SQL 2019	DBMOCKRESTORE01\SQL2019	2026-03-20 04:15:44.690	E:	3071	393	12
SQL 2019	DBMOCKRESTORE01\SQL2019	2026-03-20 04:15:44.690	F:	3071	202	6
SQL 2019	DBMOCKRESTORE01\SQL2019	2026-03-20 04:15:44.690	G:	14901	1937	12
SQL 2019	DBMOCKRESTORE01\SQL2019	2026-03-20 04:15:44.690	H:	499	200	40
SOLARWINDS_DATABASE-10.101.12.235	SOLARWINDSDB	2026-03-20 04:15:11.670	C:	69	10	15
SOLARWINDS_DATABASE-10.101.12.235	SOLARWINDSDB	2026-03-20 04:15:11.670	D:	799	84	10
RECON_UPI_DR_DB-10.182.8.68 DR of 10.181.8.101	DRRECONDBUPI	2026-03-20 04:15:44.367	C:	89	38	43
RECON_UPI_DR_DB-10.182.8.68 DR of 10.181.8.101	DRRECONDBUPI	2026-03-20 04:15:44.367	D:	69	56	80
RECON_UPI_DR_DB-10.182.8.68 DR of 10.181.8.101	DRRECONDBUPI	2026-03-20 04:15:44.367	E:	2355	960	40
RECON_UPI_DR_DB-10.182.8.68 DR of 10.181.8.101	DRRECONDBUPI	2026-03-20 04:15:44.367	F:	1023	936	91
RECON_UPI_DR_DB-10.182.8.68 DR of 10.181.8.101	DRRECONDBUPI	2026-03-20 04:15:44.367	G:	449	375	83
RECON_UPI_DR_DB-10.182.8.68 DR of 10.181.8.101	DRRECONDBUPI	2026-03-20 04:15:44.367	H:	899	381	42
RECON_UPI_DR_DB-10.182.8.68 DR of 10.181.8.101	DRRECONDBUPI	2026-03-20 04:15:44.367	K:	1126	227	20
RECON_UPI_DR_DB-10.182.8.68 DR of 10.181.8.101	DRRECONDBUPI	2026-03-20 04:15:44.367	L:	499	192	38
RECON_UPI_DR_DB-10.182.8.68 DR of 10.181.8.101	DRRECONDBUPI	2026-03-20 04:15:44.367	T:	299	299	99
SAS-PRODSASMERDB-10.71.36.247	PRODSASMERDB	2026-03-20 04:15:44.673	C:	69	17	25
SAS-PRODSASMERDB-10.71.36.247	PRODSASMERDB	2026-03-20 04:15:44.673	D:	79	55	69
SAS-PRODSASMERDB-10.71.36.247	PRODSASMERDB	2026-03-20 04:15:44.673	E:	199	185	92
SAS-PRODSASMERDB-10.71.36.247	PRODSASMERDB	2026-03-20 04:15:44.673	F:	3499	427	12
SAS-PRODSASMERDB-10.71.36.247	PRODSASMERDB	2026-03-20 04:15:44.673	G:	292	93	32
SAS-PRODSASMERDB-10.71.36.247	PRODSASMERDB	2026-03-20 04:15:44.673	H:	4775	907	18
SAS-PRODSASMERDB-10.71.36.247	PRODSASMERDB	2026-03-20 04:15:44.673	I:	499	191	38
PRODDMSDBREPL01 - 10.71.36.51	PRODDMSDBREPL01	2026-03-20 04:15:44.730	C:	69	11	16
PRODDMSDBREPL01 - 10.71.36.51	PRODDMSDBREPL01	2026-03-20 04:15:44.730	D:	79	70	87
PRODDMSDBREPL01 - 10.71.36.51	PRODDMSDBREPL01	2026-03-20 04:15:44.730	E:	2559	453	17
PRODDMSDBREPL01 - 10.71.36.51	PRODDMSDBREPL01	2026-03-20 04:15:44.730	F:	199	192	96
PRODDMSDBREPL01 - 10.71.36.51	PRODDMSDBREPL01	2026-03-20 04:15:44.730	G:	399	134	33
PRODDMSDBREPL01 - 10.71.36.51	PRODDMSDBREPL01	2026-03-20 04:15:44.730	H:	749	296	39
PRODDMSDBREPL01 - 10.71.36.51	PRODDMSDBREPL01	2026-03-20 04:15:44.730	I:	199	137	68
PRODDMSDBREPL01 - 10.71.36.51	PRODDMSDBREPL01	2026-03-20 04:15:44.730	J:	149	35	23
PRODSTACKDB41 - 10.71.36.59 - HA of 10.71.36.41	PRODSTACKDB59	2026-03-20 04:15:44.720	C:	99	15	15
PRODSTACKDB41 - 10.71.36.59 - HA of 10.71.36.41	PRODSTACKDB59	2026-03-20 04:15:44.720	D:	79	50	63
PRODSTACKDB41 - 10.71.36.59 - HA of 10.71.36.41	PRODSTACKDB59	2026-03-20 04:15:44.720	E:	1228	255	20
PRODSTACKDB41 - 10.71.36.59 - HA of 10.71.36.41	PRODSTACKDB59	2026-03-20 04:15:44.720	F:	299	296	98
PRODSTACKDB41 - 10.71.36.59 - HA of 10.71.36.41	PRODSTACKDB59	2026-03-20 04:15:44.720	G:	249	171	68
PRODSTACKDB41 - 10.71.36.59 - HA of 10.71.36.41	PRODSTACKDB59	2026-03-20 04:15:44.720	T:	99	99	99
ADV	DBMOCKRESTORE01\ADV	2026-03-20 04:15:44.763	C:	99	15	15
ADV	DBMOCKRESTORE01\ADV	2026-03-20 04:15:44.763	D:	79	34	43
ADV	DBMOCKRESTORE01\ADV	2026-03-20 04:15:44.763	E:	3071	393	12
ADV	DBMOCKRESTORE01\ADV	2026-03-20 04:15:44.763	F:	3071	202	6
ADV	DBMOCKRESTORE01\ADV	2026-03-20 04:15:44.763	G:	14901	1937	12
ADV	DBMOCKRESTORE01\ADV	2026-03-20 04:15:44.763	H:	499	200	40
ESBHIST - PRODSTACKHISTDB - 10.71.36.131	PRODSTACKHISTDB	2026-03-20 04:15:44.770	C:	99	12	12
ESBHIST - PRODSTACKHISTDB - 10.71.36.131	PRODSTACKHISTDB	2026-03-20 04:15:44.770	D:	99	95	95
ESBHIST - PRODSTACKHISTDB - 10.71.36.131	PRODSTACKHISTDB	2026-03-20 04:15:44.770	E:	5119	133	2
ESBHIST - PRODSTACKHISTDB - 10.71.36.131	PRODSTACKHISTDB	2026-03-20 04:15:44.770	F:	5119	329	6
ESBHIST - PRODSTACKHISTDB - 10.71.36.131	PRODSTACKHISTDB	2026-03-20 04:15:44.770	G:	499	148	29
ESBHIST - PRODSTACKHISTDB - 10.71.36.131	PRODSTACKHISTDB	2026-03-20 04:15:44.770	H:	1023	335	32
ESBHIST - PRODSTACKHISTDB - 10.71.36.131	PRODSTACKHISTDB	2026-03-20 04:15:44.770	L:	499	39	7
ESBHIST - PRODSTACKHISTDB - 10.71.36.131	PRODSTACKHISTDB	2026-03-20 04:15:44.770	T:	199	85	42
DMS	DBMOCKRESTORE01\DMS	2026-03-20 04:15:44.790	C:	99	15	15
DMS	DBMOCKRESTORE01\DMS	2026-03-20 04:15:44.790	D:	79	34	43
DMS	DBMOCKRESTORE01\DMS	2026-03-20 04:15:44.790	E:	3071	393	12
DMS	DBMOCKRESTORE01\DMS	2026-03-20 04:15:44.790	F:	3071	202	6
DMS	DBMOCKRESTORE01\DMS	2026-03-20 04:15:44.790	G:	14901	1937	12
DMS	DBMOCKRESTORE01\DMS	2026-03-20 04:15:44.790	H:	499	200	40
PRD	DBMOCKRESTORE01\PRD	2026-03-20 04:15:44.810	C:	99	15	15
PRD	DBMOCKRESTORE01\PRD	2026-03-20 04:15:44.810	D:	79	34	43
PRD	DBMOCKRESTORE01\PRD	2026-03-20 04:15:44.810	E:	3071	393	12
PRD	DBMOCKRESTORE01\PRD	2026-03-20 04:15:44.810	F:	3071	202	6
PRD	DBMOCKRESTORE01\PRD	2026-03-20 04:15:44.810	G:	14901	1937	12
PRD	DBMOCKRESTORE01\PRD	2026-03-20 04:15:44.810	H:	499	200	40
SQL 2016	DBMOCKRESTORE01	2026-03-20 04:15:44.797	C:	99	15	15
SQL 2016	DBMOCKRESTORE01	2026-03-20 04:15:44.797	D:	79	34	43
SQL 2016	DBMOCKRESTORE01	2026-03-20 04:15:44.797	E:	3071	393	12
SQL 2016	DBMOCKRESTORE01	2026-03-20 04:15:44.797	F:	3071	202	6
SQL 2016	DBMOCKRESTORE01	2026-03-20 04:15:44.797	G:	14901	1937	12
SQL 2016	DBMOCKRESTORE01	2026-03-20 04:15:44.797	H:	499	200	40
Kwikld_VKYC	DBMOCKRESTORE01\KWIKLD_VKYC	2026-03-20 04:15:44.863	C:	99	15	15
Kwikld_VKYC	DBMOCKRESTORE01\KWIKLD_VKYC	2026-03-20 04:15:44.863	D:	79	34	43
Kwikld_VKYC	DBMOCKRESTORE01\KWIKLD_VKYC	2026-03-20 04:15:44.863	E:	3071	393	12
Kwikld_VKYC	DBMOCKRESTORE01\KWIKLD_VKYC	2026-03-20 04:15:44.863	F:	3071	202	6
Kwikld_VKYC	DBMOCKRESTORE01\KWIKLD_VKYC	2026-03-20 04:15:44.863	G:	14901	1937	12
Kwikld_VKYC	DBMOCKRESTORE01\KWIKLD_VKYC	2026-03-20 04:15:44.863	H:	499	200	40
RECONPRODDB - 10.71.36.77	RECONPRODDB	2026-03-20 04:15:45.050	C:	69	14	20
RECONPRODDB - 10.71.36.77	RECONPRODDB	2026-03-20 04:15:45.050	D:	99	89	89
RECONPRODDB - 10.71.36.77	RECONPRODDB	2026-03-20 04:15:45.050	E:	2867	2152	75
RECONPRODDB - 10.71.36.77	RECONPRODDB	2026-03-20 04:15:45.050	F:	499	497	99
RECONPRODDB - 10.71.36.77	RECONPRODDB	2026-03-20 04:15:45.050	G:	299	299	99
RECONPRODDB - 10.71.36.77	RECONPRODDB	2026-03-20 04:15:45.050	H:	499	414	82
PRODSTACKDB2 - 10.71.36.47	PRODSTACKDB2	2026-03-20 04:15:45.380	C:	89	43	48
PRODSTACKDB2 - 10.71.36.47	PRODSTACKDB2	2026-03-20 04:15:45.380	D:	99	85	86
PRODSTACKDB2 - 10.71.36.47	PRODSTACKDB2	2026-03-20 04:15:45.380	E:	1945	742	38
PRODSTACKDB2 - 10.71.36.47	PRODSTACKDB2	2026-03-20 04:15:45.380	F:	249	247	98
PRODSTACKDB2 - 10.71.36.47	PRODSTACKDB2	2026-03-20 04:15:45.380	G:	2047	985	48
PRODSTACKDB2 - 10.71.36.47	PRODSTACKDB2	2026-03-20 04:15:45.380	H:	299	258	86
