Server Name	ServerName	IPAddressOfSQLServer	name	last_backup_time	recovery_model_desc	state_desc	backup_type	physical_device_name
FPBQASSAP\QAS-10.101.12.121	FPBQASSAP\QAS	10.101.12.121	AUDIT	Mar 19 2026  5:01AM	SIMPLE	ONLINE	Full database	{BCC90BFE-963B-4133-953C-70BECDC20FD0}4
FPBQASSAP\QAS-10.101.12.121	FPBQASSAP\QAS	10.101.12.121	QAS	Mar 19 2026  5:01AM	SIMPLE	ONLINE	Full database	{BCC90BFE-963B-4133-953C-70BECDC20FD0}3
FPBQASSAP\QAS-10.101.12.121	FPBQASSAP\QAS	10.101.12.121	master	Mar 19 2026  5:01AM	SIMPLE	ONLINE	Full database	{BCC90BFE-963B-4133-953C-70BECDC20FD0}5
FPBQASSAP\QAS-10.101.12.121	FPBQASSAP\QAS	10.101.12.121	model	Mar 19 2026  5:01AM	FULL	ONLINE	Full database	{BCC90BFE-963B-4133-953C-70BECDC20FD0}1
FPBQASSAP\QAS-10.101.12.121	FPBQASSAP\QAS	10.101.12.121	msdb	Mar 19 2026  5:01AM	SIMPLE	ONLINE	Full database	{BCC90BFE-963B-4133-953C-70BECDC20FD0}2
LOG_DR_DB - 10.182.8.54 DR of 10.71.36.14_2	FPBDRSTKDB2	10.182.8.54	PBLOGS	Sep 19 2025  9:47PM	FULL	ONLINE	Differential database	\\10.181.16.12\DB_Backup_HPNAS\DAILY_DB_BACKUP\10.182.8.54_DR_BACKUP\PBLOGS_19092025.BAK
LOG_DR_DB - 10.182.8.54 DR of 10.71.36.14_2	FPBDRSTKDB2	10.182.8.54	PBLOGS	Aug  3 2025  1:01AM	FULL	ONLINE	Full database	\\10.181.16.12\DB_Backup_HPNAS\DAILY_DB_BACKUP\10.71.36.14\Full\PBLOGS\PBLOGS_backup_2025_08_03_010004_0555199.bak
PRODEFRMNEODB1 - 10.181.8.81	PRODEFRMNEODB1	10.181.8.81	ICMSADM	Mar 20 2026 12:15AM	FULL	ONLINE	Differential database	U:\ICMSADM\ICMSADM_backup_2026_03_20_000001_5928089.bak
PRODEFRMNEODB1 - 10.181.8.81	PRODEFRMNEODB1	10.181.8.81	CXPSADM	Mar 20 2026 12:00AM	SIMPLE	ONLINE	Differential database	U:\CXPSADM\CXPSADM_backup_2026_03_20_000001_5928089.bak
PRODEFRMNEODB1 - 10.181.8.81	PRODEFRMNEODB1	10.181.8.81	model	Mar 20 2026 12:00AM	FULL	ONLINE	Differential database	U:\model\model_backup_2026_03_20_000001_5917227.bak
PRODEFRMNEODB1 - 10.181.8.81	PRODEFRMNEODB1	10.181.8.81	msdb	Mar 20 2026 12:00AM	SIMPLE	ONLINE	Differential database	U:\msdb\msdb_backup_2026_03_20_000001_5922875.bak
PRODEFRMNEODB1 - 10.181.8.81	PRODEFRMNEODB1	10.181.8.81	CXPSADM	Mar 12 2026  4:53PM	SIMPLE	ONLINE	Full database	X:\CXPSADM\CXPSADM_backup_2026_03_12_165259_8541180.bak
PRODEFRMNEODB1 - 10.181.8.81	PRODEFRMNEODB1	10.181.8.81	ICMSADM	Mar 12 2026  4:53PM	FULL	ONLINE	Full database	X:\ICMSADM\ICMSADM_backup_2026_03_12_165259_8541180.bak
PRODEFRMNEODB1 - 10.181.8.81	PRODEFRMNEODB1	10.181.8.81	model	Mar 12 2026  4:53PM	FULL	ONLINE	Full database	X:\model\model_backup_2026_03_12_165259_8541180.bak
PRODEFRMNEODB1 - 10.181.8.81	PRODEFRMNEODB1	10.181.8.81	msdb	Mar 12 2026  4:53PM	SIMPLE	ONLINE	Full database	X:\msdb\msdb_backup_2026_03_12_165259_8541180.bak
PRODEFRMNEODB1 - 10.181.8.81	PRODEFRMNEODB1	10.181.8.81	master	Mar 12 2026  4:52PM	SIMPLE	ONLINE	Full database	X:\master\master_backup_2026_03_12_165259_8541180.bak
PRODEFRMNEODB1 - 10.181.8.81	PRODEFRMNEODB1	10.181.8.81	JIRAADMPROD	Mar  9 2026  5:30PM	FULL	RESTORING	Differential database	\\10.181.16.12\DB_Backup_HPNAS\DAILY_DB_BACKUP\DIFF\10.71.36.18\Diff\JIRAADMPROD\JIRAADMPROD_09032026_FULL.bkp
